rank,unit,function,meaningful_bytes,padded_target,padded_base,relocation_count_delta,frame_delta,park_class,strict_status,evidence
39,source/main/main,_main_update_time,1440,1440,1440,0,0,unclassified,R,research/fifty_objects_20260925/w/review3_player_ui/REVIEW.md; research/fifty_objects_20260925/w/review3_main/REVIEW.md; research/fifty_objects_20260925/results/wave3/REVIEW__source_main_main.md; research/fifty_objects_20260925/results/wave3/REVIEW__source_interface_player_ui.md; research/fifty_objects_20260925/results/wave3/player_ui_source_interface_player_ui.md; research/fifty_objects_20260925/results/wave3/main_source_main_main.md; research/fifty_objects_20260925/results/wave3/game_engine_source_game_game_engine.md; docs/object_matching_logs/claude_fifty_objects_20260925.md
40,source/ai/actor_moving,_actor_path_refresh,1433,1440,1440,0,0,not-parked,R,docs/object_matching_logs/claude_lane_a_residual_triage_20260920.md; docs/object_matching_logs/claude_lane_a_hoist_lever_worked_examples_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_HANDOFF_20260920.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/rasterizer_xbox_hardware_bitmaps_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/actor_moving_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/actor_moving_obj_opus5_fresh_graphs_20260914.md
41,source/objects/damage,_area_of_effect_cause_damage_to_object,1316,1328,1312,1,0,unclassified,R,research/fifty_objects_20260925/w/review3_damage/REVIEW.md; research/fifty_objects_20260925/results/wave3/REVIEW__source_objects_damage.md; research/fifty_objects_20260925/results/wave3/damage_source_objects_damage.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_objects_damage.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/astra_90pct_research8_damage_20260920.md; docs/object_matching_logs/astra_90pct_research5_shared_context_20260920.md; docs/object_matching_logs/damage_obj_opus5_150k_w3_20260914.md
42,source/effects/player_effects,_player_effect_get_camera_effect_matrix,1303,1312,1280,0,0,unclassified,R,research/fifty_objects_20260925/results/wave4/player_effects_source_effects_player_effects.md; docs/object_matching_logs/player_effects_obj_opus5_next150_n3a_20260915.md; docs/object_matching_logs/player_effects_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/player_effects_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/main_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/player_effects_obj_opus_private_helpers_reconciliation_20260904.md
43,source/game/players,_player_teleport_internal,1285,1296,1312,1,0,not-parked,R,research/fifty_objects_20260925/w/review3__admission_hygiene_/REVIEW.md; research/fifty_objects_20260925/results/wave3/players_source_game_players_object_storage_admission_hygiene_.md; research/fifty_objects_20260925/results/wave3/players_source_game_players__player_teleport_internal_1296_.md; research/fifty_objects_r2_20260924/results/r2w4/source_game_players.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_game_players.md; docs/object_matching_logs/claude_lane_a_HANDOFF_TO_LANE_B_20260921.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md
44,source/cutscene/cinematics,_cinematic_render,1272,1280,1280,0,0,register-allocation,R,research/fifty_objects_20260925/results/wave2/fn2_cinematics_source_cutscene_cinematics.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_cutscene_cinematics.md; docs/object_matching_logs/cinematics_obj_four_instruction_reprobe_20260924.md; docs/object_matching_logs/cinematics_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/interface_obj_jonas_fullscreen_overlays_20260829.md; docs/object_matching_logs/cinematics_obj_jonas_render_boundary_20260830.md; docs/object_matching_logs/cinematics_obj_jonas_draw_quad_20260825.md; docs/object_matching_logs/cinematics_obj_jonas_authenticated_fast_ftol_reopen_20260831.md
45,source/camera/dead_camera,_dead_camera_update,1235,1248,1248,0,,not-parked,R,research/fifty_objects_20260925/w/review_dead_camera/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_camera_dead_camera.md; research/fifty_objects_20260925/results/wave1/fn_dead_camera_source_camera_dead_camera.md; docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; docs/object_matching_logs/claude_fifty_objects_20260925.md; docs/object_matching_logs/dead_camera_small_object_reaudit_20260924.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/claude_lane_d_refresh_HANDOFF_20260922.md
46,source/objects/widgets/flags,_flag_update,1170,1184,1184,0,0,unclassified,R,research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_objects_widgets_flags.md; docs/object_matching_logs/flags_render_counter_initializer_held_20260923.md; docs/object_matching_logs/claude_structural_HANDOFF_20260923.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/opus5_next150_HANDOFF_20260915.md; docs/object_matching_logs/flags_obj_opus5_next150_tierB_20260915.md; docs/object_matching_logs/flags_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/flags_obj_opus5_150k_w2_20260914.md
47,source/physics/physics,_physics_compute_vehicle_collision,1160,1168,1152,0,0,not-parked,R,docs/object_matching_logs/claude_decals_physics_20260924.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/physics_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/physics_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/physics_obj_opus5_100k_20260914.md; docs/object_matching_logs/physics_obj_jonas_claude_natural_prefix_exact_20260831.md
48,source/interface/ui_widget,_draw_bitmap_in_rect,1156,1168,1168,0,0,not-parked,R,research/fifty_objects_20260925/results/wave1/fn_collisions_source_physics_collisions.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_ui_widget.md; docs/object_matching_logs/ui_widget_obj_evidence_closeout_20260919.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_100k_20260914.md; docs/object_matching_logs/decals_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_house_clean_20260913.md
49,source/interface/motion_sensor,_motion_sensor_update,1154,1168,1136,1,-20,unclassified,R,research/fifty_objects_20260925/w/review4_motion_sensor_____bss_symbol_layout__object_admission_/REVIEW.md; research/fifty_objects_20260925/w/review4_motion_sensor/REVIEW.md; research/fifty_objects_20260925/w/review4_hud_unit/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_motion_sensor_bss_symbol_layout_object_admission_.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_motion_sensor.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_unit.md; research/fifty_objects_20260925/results/wave4/motion_sensor_source_interface_motion_sensor__update_motion_sensor_864_.md; research/fifty_objects_20260925/results/wave4/motion_sensor_source_interface_motion_sensor__motion_sensor_update_1168_.md
50,source/math/geometry,_convex_polygon3d_clip_to_plane,1112,1120,1120,0,0,unclassified,R,research/fifty_objects_20260925/w/review4_geometry__provider_repair_that_unblocks_collision_bsp_s_link_/REVIEW.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/structure_visibility_obj_opus5_next150_n1_20260915.md; docs/object_matching_logs/geometry_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/geometry_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/geometry_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/structure_visibility_obj_full_reconstruction_20260902.md
51,source/interface/virtual_keyboard,_virtual_keyboard_select,1077,1088,1088,0,,unclassified,R,research/fifty_objects_20260925/results/wave1/fn_virtual_keyboard_interface_virtual_keyboard_virtual_keyboard_select.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_virtual_keyboard.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/opus5_next150_compiler_laws_round2_20260916.md; docs/object_matching_logs/rasterizer_xbox_hardware_bitmaps_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/virtual_keyboard_obj_opus5_fresh_graphs_20260914.md; docs/object_matching_logs/virtual_keyboard_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/virtual_keyboard_obj_opus5_150k_w1_20260914.md
52,source/math/geometry,_convex_polygon2d_clip_to_plane,997,1008,1008,0,0,unclassified,R,research/fifty_objects_20260925/w/review4_geometry__provider_repair_that_unblocks_collision_bsp_s_link_/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_math_geometry_provider_repair_that_unblocks_collision_bsp_s_link_review_of_scratch_.md; research/fifty_objects_20260925/results/wave1/fn_structures_source_structures_structures.md; docs/object_matching_logs/claude_decals_physics_20260924.md; docs/object_matching_logs/claude_collision_geometry_20260924.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/geometry_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/geometry_obj_opus5_150k_w2_20260914.md
53,source/ai/ai,_ai_test_line_of_sight,996,1008,1040,0,12,instruction-scheduling,R,research/fifty_objects_20260925/w/review_players (header-packet function gains)/REVIEW.md; research/fifty_objects_20260925/results/wave2/REVIEW__review_layer2_commit_931ed8dc_Layer_2_shared_header_packet_.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_math_geometry_source_game_players_Layer_2_ABRPL_header_packet_function_ga.md; research/fifty_objects_20260925/results/wave1/provider_repair_source_structures_leaf_map.md; research/fifty_objects_20260925/results/wave1/audit_path_render_source_ai_path.md; docs/object_matching_logs/claude_object_closure_canonical_reconciliation_20260924.md; docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/claude_lane_a_waveB_frame_and_nearexact_20260920.md
54,source/bitmaps/bitmap_group,_bitmap_group_add_bitmap,995,1008,992,0,0,unclassified,R,research/fifty_objects_20260925/results/wave2/fn2_bitmap_group_source_bitmaps_bitmap_group.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_bitmaps_bitmap_group.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/bitmap_group_obj_opus5_next150_n1_20260915.md
55,source/effects/effects,_effect_generate_part,988,992,976,1,-4,unclassified,R,research/fifty_objects_20260925/results/wave2/breakable_surfaces_source_physics_breakable_surfaces.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/claude_lane_a_data_census_20260920.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_50k_20260916.md; docs/object_matching_logs/opus5_next150_compiler_laws_round2_20260916.md; docs/object_matching_logs/effects_obj_opus5_250k_w3d_20260915.md; docs/object_matching_logs/opus5_100k_consolidated_HANDOFF_20260914.md; docs/object_matching_logs/opus5_100k_checkpoint_20260914.md
56,source/ai/actor_moving,_actor_destination_update,968,976,976,0,0,not-parked,R,docs/object_matching_logs/claude_lane_a_residual_triage_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_HANDOFF_20260920.md; docs/object_matching_logs/actor_moving_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/actor_moving_obj_opus5_fresh_graphs_20260914.md; docs/object_matching_logs/actor_moving_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/actor_moving_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/actor_moving_obj_opus5_100k_waveC_20260914.md
57,source/ai/actions,_actor_action_handle_vehicle_entry,954,960,960,0,0,register-allocation,R,research/fifty_objects_20260925/w/review_structures/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_structures_structures.md; research/fifty_objects_20260925/results/wave2/fn2_actions_source_ai_actions_actor_action_handle_vehicle_entry.md; research/fifty_objects_r2_20260924/results/r2w2/source_ai_actions.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/claude_lane_a_HANDOFF_TO_LANE_B_20260921.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md
58,source/rasterizer/xbox/rasterizer_xbox_environment,_rasterizer_environment_specular_spot_light_begin,949,960,944,0,-16,register-allocation,R,research/fifty_objects_r2_20260924/results/r2w1/source_rasterizer_xbox_rasterizer_xbox_environment.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_rasterizer_xbox_rasterizer_xbox_environment.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/astra_90pct_research7_environment_independent_review_20260920.md; docs/object_matching_logs/astra_90pct_research7_environment_20260920.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/rasterizer_xbox_environment_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/rasterizer_xbox_environment_obj_opus5_next150_n3a_20260915.md
59,source/ai/ai,_ai_test_ballistic_line_of_fire,930,944,944,0,0,instruction-scheduling,R,research/fifty_objects_20260925/results/wave3/players_source_game_players_object_storage_admission_hygiene_.md; docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/claude_lane_c_canonical_reconciliation_20260922.md; docs/object_matching_logs/claude_lane_a_waveA2_fuzzy_20260920.md; docs/object_matching_logs/claude_lane_a_residual_triage_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_HANDOFF_20260920.md
60,source/ai/ai_communication,_ai_communication_actor_talk_weight,904,912,912,0,0,instruction-scheduling,R,docs/object_matching_logs/claude_lane_a_residual_triage_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_research12_call_argument_scout_20260920.md; docs/object_matching_logs/astra_90pct_debug_packet_20260920.md; docs/object_matching_logs/astra_90pct_communication_independent_review_20260920.md; docs/object_matching_logs/path_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/ai_communication_obj_opus5_150k_w3_20260914.md
61,source/physics/collision_bsp,_collision_surface_test_sphere,875,880,848,0,-8,unclassified,R,research/fifty_objects_20260925/w/review4_collision_bsp__whole_object__admission_/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_physics_collision_bsp_whole_object_admission_review_of_ADMISSION_FIX_PROPOSED_stora.md; research/fifty_objects_20260925/results/wave4/collision_bsp_source_physics_collision_bsp_whole_object_admission_.md; research/fifty_objects_20260925/results/wave4/collision_bsp_source_physics_collision_bsp__collision_surface_test_sphere.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_physics_collision_bsp.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md
62,source/interface/motion_sensor,_update_motion_sensor,849,864,816,-2,4,unclassified,R,research/fifty_objects_20260925/w/review4_motion_sensor_____bss_symbol_layout__object_admission_/REVIEW.md; research/fifty_objects_20260925/w/review4_motion_sensor/REVIEW.md; research/fifty_objects_20260925/w/review4_hud_unit/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_motion_sensor_bss_symbol_layout_object_admission_.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_motion_sensor.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_unit.md; research/fifty_objects_20260925/results/wave4/motion_sensor_source_interface_motion_sensor__update_motion_sensor_864_.md; research/fifty_objects_20260925/results/wave4/motion_sensor_source_interface_motion_sensor__motion_sensor_update_1168_.md
63,source/physics/collision_bsp,_bsp3d_test_sphere_recursive,792,800,800,0,0,unclassified,R,research/fifty_objects_20260925/results/wave4/REVIEW__source_physics_collision_bsp_whole_object_admission_review_of_ADMISSION_FIX_PROPOSED_stora.md; research/fifty_objects_20260925/results/wave4/collision_bsp_source_physics_collision_bsp_whole_object_admission_.md; research/fifty_objects_20260925/results/wave4/collision_bsp_source_physics_collision_bsp__bsp3d_test_sphere_recursive.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_physics_collision_bsp.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_research5_shared_schedule_20260920.md; docs/object_matching_logs/astra_90pct_research5_shared_context_20260920.md
64,source/interface/motion_sensor,_render_motion_sensor,753,768,784,0,0,unclassified,R,research/fifty_objects_20260925/w/review4_motion_sensor_____bss_symbol_layout__object_admission_/REVIEW.md; research/fifty_objects_20260925/w/review4_motion_sensor/REVIEW.md; research/fifty_objects_20260925/w/review4_hud_unit/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_motion_sensor_bss_symbol_layout_object_admission_.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_motion_sensor.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_unit.md; research/fifty_objects_20260925/results/wave4/motion_sensor_source_interface_motion_sensor_bss_symbol_layout_object_admission_.md; research/fifty_objects_20260925/results/wave4/motion_sensor_source_interface_motion_sensor__update_motion_sensor_864_.md
65,source/ai/actor_moving,_actor_move_test_avoidance_vector,743,752,544,1,0,not-parked,R,docs/object_matching_logs/claude_lane_a_waveC_20260920.md; docs/object_matching_logs/claude_lane_a_waveA4_actor_moving_20260920.md; docs/object_matching_logs/claude_lane_a_residual_triage_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_10k_20260916.md; docs/object_matching_logs/actor_moving_obj_opus5_next150_n4_20260915.md
66,source/interface/ui_widget,_widget_instance_render_recursive,743,752,752,0,0,not-parked,R,docs/object_matching_logs/ui_widget_obj_evidence_closeout_20260919.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_100k_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_house_clean_20260913.md; docs/object_matching_logs/claude_ui_weather_aim_render_hs_reconciliation_20260908.md
67,source/effects/player_effects,_player_effect_update_camera_impulse,738,752,752,0,0,instruction-scheduling,R,research/fifty_objects_20260925/results/wave4/player_effects_source_effects_player_effects.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_effects_player_effects.md; docs/object_matching_logs/player_effects_obj_opus5_next150_n3a_20260915.md; docs/object_matching_logs/player_effects_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/player_effects_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/player_effects_obj_remaining_unwritten_closeout_20260904.md; docs/object_matching_logs/player_effects_obj_opus_private_helpers_reconciliation_20260904.md
68,source/hs/hs_compile,_hs_compile_postprocess,714,720,704,-1,,not-parked,R,research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_hs_hs_compile.md; research/fifty_objects_r2_20260924/results/r2w4/source_hs_hs_compile.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/hs_compile_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/hs_compile_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/hs_compile_obj_opus5_fresh_graphs_20260914.md; docs/object_matching_logs/hs_compile_obj_opus5_150k_w2_20260914.md
69,source/interface/ui_widget_game_data_input_functions,_solo_level_select_list_update_displayed_items,693,704,704,0,0,instruction-scheduling,R,research/fifty_objects_20260925/results/wave1/fn_ui_widget_game_data_input_functions_source_interface_ui_widget_game_data_input_function.md; research/fifty_objects_r2_20260924/results/r2w4/CRITIC.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_ui_widget_game_data_input_functions.md; docs/object_matching_logs/claude_fifty_objects_r2_20260924.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/ui_widget_game_data_input_functions_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/ui_widget_game_data_input_functions_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/ui_widget_game_data_profile_fuzzy_reconciliation_20260909.md
70,source/interface/ui_widget,_ui_check_for_pause_game,665,672,640,-3,,not-parked,R,research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_ui_widget.md; docs/object_matching_logs/claude_structural_HANDOFF_20260923.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/ui_widget_obj_evidence_closeout_20260919.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_100k_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_house_clean_20260913.md
71,source/render/render_sprite,_build_sprite_rotational,640,640,656,0,-8,not-parked,R,docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/render_sprite_obj_opus5_fresh_graphs_20260914.md; docs/object_matching_logs/render_sprite_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/render_sprite_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/render_sprite_obj_jonas_public_salvage_20260821.md; docs/object_matching_logs/render_sprite_obj.md
72,source/interface/ui_widget,_display_scenario_help,596,608,608,0,0,not-parked,R,research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_ui_widget.md; docs/object_matching_logs/ui_widget_obj_evidence_closeout_20260919.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_100k_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_house_clean_20260913.md; docs/object_matching_logs/claude_ui_weather_aim_render_hs_reconciliation_20260908.md; docs/object_matching_logs/ui_widget_obj_opus_pool_owner_reconciliation_20260904.md
73,source/hs/hs_compile,_hs_parse_set,554,560,576,3,0,not-parked,R,research/fifty_objects_20260925/w/review3_rasterizer_xbox_profile/REVIEW.md; research/fifty_objects_20260925/results/wave3/REVIEW__source_rasterizer_xbox_rasterizer_xbox_profile.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_hs_hs_compile.md; research/fifty_objects_r2_20260924/results/r2w4/source_hs_hs_compile.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/hs_compile_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/hs_compile_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/hs_compile_obj_opus5_fresh_graphs_20260914.md
74,source/bungie_net/network/transport_endpoint_set_winsock,_poll_endpoint_set,551,560,560,0,0,unclassified,R,research/fifty_objects_20260925/results/wave3/transport_set_source_bungie_net_network_transport_endpoint_set_winsock_object_storage__net_startup_debug.md; research/fifty_objects_20260925/results/wave3/transport_set_source_bungie_net_network_transport_endpoint_set_winsock__transport_initialize.md; research/fifty_objects_20260925/results/wave3/transport_set_source_bungie_net_network_transport_endpoint_set_winsock__transport_endpoint_set_compare_e.md; research/fifty_objects_20260925/results/wave3/transport_set_source_bungie_net_network_transport_endpoint_set_winsock__poll_endpoint_set.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_bungie_net_network_transport_endpoint_set_winsock.md; research/fifty_objects_r2_20260924/results/r2w4/source_bungie_net_network_transport_endpoint_set_winsock.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_bungie_net_network_transport_endpoint_set_winsock.md
75,source/main/main,_main_frame_rate_debug,538,544,544,-1,0,unclassified,R,research/fifty_objects_20260925/w/review3_main/REVIEW.md; research/fifty_objects_20260925/results/wave3/REVIEW__source_main_main.md; research/fifty_objects_20260925/results/wave3/main_source_main_main.md; docs/object_matching_logs/claude_fifty_objects_20260925.md; research/fifty_objects_r2_20260924/results/r2w4/source_main_main.md; docs/object_matching_logs/astra_90pct_research14_branch_store_scout_20260920.md; docs/object_matching_logs/opus5_next150_compiler_laws_round2_20260916.md; docs/object_matching_logs/main_obj_opus5_next150_n5_20260915.md
76,source/hs/hs_runtime,_hs_evaluate_begin_random,519,528,528,0,0,private-register-convention,R,research/fifty_objects_r2_20260924/w/review_r2_hs_runtime_storage_12_converters/REVIEW.md; research/fifty_objects_r2_20260924/w/review_r2_hs_runtime__render_debug_trigger_volumes/REVIEW.md; research/fifty_objects_r2_20260924/w/review_r2_hs_runtime/REVIEW.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_hs_hs_runtime.md; research/fifty_objects_r2_20260924/results/r2w1/REVIEW__source_hs_hs_runtime_storage_12_converters_.md; research/fifty_objects_r2_20260924/results/r2w1/REVIEW__source_hs_hs_runtime__render_debug_trigger_volumes_1088_B_.md; research/fifty_objects_r2_20260924/results/r2w1/REVIEW__source_hs_hs_runtime.md; research/fifty_objects_r2_20260924/results/r2w4/source_hs_hs_runtime.md
77,source/bitmaps/s3tc/s3tc,_DecodeBlockRGB__single_pixel,493,496,496,0,0,unclassified,R,docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/claude_lane_c_graphics_ui_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/s3tc_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/s3tc_obj_opus5_next150_n3a_20260915.md; docs/object_matching_logs/s3tc_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/s3tc_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/player_profile_s3tc_batch_reconciliation_20260907.md
78,source/units/bipeds,_biped_accelerate,471,480,480,0,0,instruction-scheduling,R,docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_40k_20260916.md; docs/object_matching_logs/path_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/path_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_100k_waveD_20260914.md
